referrer,views_total,views_unique
gorm.io,740,365
Google,342,216
github.com,140,66
pkg.go.dev,36,26
learnku.com,11,9
DuckDuckGo,11,8
yandex.ru,6,4
search.brave.com,6,4
kancloud.cn,4,4
Baidu,4,4
