referrer,views_total,views_unique
gorm.io,753,315
Google,368,249
github.com,132,77
learnku.com,27,7
pkg.go.dev,26,20
Baidu,22,10
blog.kakkk.net,17,8
medium.com,16,8
you.com,14,1
DuckDuckGo,12,7
