referrer,views_total,views_unique
Google,365,200
gorm.io,229,96
github.com,86,30
pkg.go.dev,45,22
DuckDuckGo,25,15
Bing,3,2
yandex.ru,2,2
qiita.com,2,1
yandex.kz,2,1
cn.bing.com,2,1
