referrer,views_total,views_unique
Google,364,221
gorm.io,301,121
github.com,291,116
DuckDuckGo,37,23
pkg.go.dev,27,19
Bing,16,7
yandex.ru,11,5
search.desideriosoldi.com,4,1
cn.bing.com,3,3
search.brave.com,2,1
