referrer,views_total,views_unique
Google,508,236
gorm.io,296,117
github.com,130,51
pkg.go.dev,69,24
DuckDuckGo,15,11
Bing,5,5
yandex.ru,5,4
cn.bing.com,3,2
softwareclearing.siemens.com,3,1
qiita.com,2,1
