referrer,views_total,views_unique
gorm.io,221,90
Google,185,95
github.com,113,43
pkg.go.dev,39,15
DuckDuckGo,10,6
Bing,7,2
cn.bing.com,5,5
runoob.com,5,1
yandex.ru,2,2
gorm.cn,1,1
