referrer,views_total,views_unique
gorm.io,273,104
Google,213,107
github.com,154,61
pkg.go.dev,58,28
cn.bing.com,16,10
DuckDuckGo,11,10
Bing,7,5
Baidu,6,3
learnku.com,3,2
yandex.com,2,1
