referrer,views_total,views_unique
Google,11922,5273
github.com,8048,2887
gorm.io,4342,1522
pkg.go.dev,1331,566
Baidu,452,323
DuckDuckGo,322,122
cn.bing.com,289,151
disq.us,232,150
Bing,127,61
libhunt.com,83,14
