referrer,views_total,views_unique
Google,11929,5755
gorm.io,3565,1372
github.com,2557,1047
pkg.go.dev,1030,497
Baidu,785,500
DuckDuckGo,235,99
cn.bing.com,140,72
Bing,95,53
search.brave.com,68,42
yandex.ru,65,40
