referrer,views_total,views_unique
Google,11877,5328
github.com,10173,3701
gorm.io,5160,1810
pkg.go.dev,1479,663
DuckDuckGo,468,219
disq.us,345,255
Baidu,308,216
cn.bing.com,160,88
Bing,92,55
yandex.ru,78,44
