referrer,views_total,views_unique
Google,13926,6615
gorm.io,4110,1573
github.com,3993,1301
Baidu,1271,755
pkg.go.dev,1046,480
DuckDuckGo,233,95
cn.bing.com,177,101
Bing,119,59
medium.com,71,53
yandex.ru,65,46
