referrer,views_total,views_unique
github.com,335,113
gorm.io,239,102
Google,62,44
Baidu,50,30
qiita.com,35,16
smartnews.com,2,1
Bing,1,1
DuckDuckGo,1,1
cn.bing.com,1,1
topgoer.com,1,1
