referrer,views_total,views_unique
gorm.io,239,129
github.com,163,75
Google,130,97
yandex.ru,14,7
v1.gorm.io,8,2
Baidu,6,6
Bing,5,3
cn.bing.com,2,2
DuckDuckGo,2,2
m.baidu.com,2,2
