referrer,views_total,views_unique
Google,115,49
gorm.io,64,25
github.com,30,9
Yahoo,12,1
pkg.go.dev,7,5
Bing,7,3
DuckDuckGo,6,2
cn.bing.com,3,2
Baidu,2,2
