referrer,views_total,views_unique
Google,114,47
gorm.io,59,23
github.com,32,9
Yahoo,12,1
Bing,7,3
DuckDuckGo,6,2
pkg.go.dev,5,4
cn.bing.com,3,2
Baidu,2,2
search.brave.com,1,1
