time_iso8601,forks_cumulative
2020-10-02 00:00:00+00:00,1
2021-08-20 00:00:00+00:00,2
2022-01-07 00:00:00+00:00,3
2022-03-27 00:00:00+00:00,4
2022-05-12 00:00:00+00:00,5
2022-06-02 00:00:00+00:00,6
2022-07-07 00:00:00+00:00,7
2022-07-27 00:00:00+00:00,8
